Mitch Ryder and the Detroit Wheels,Back for More,354
Steve Miller Band,Brave New World,362
Steve Miller Band,Number 5,362
Steve Miller Band,Your Saving Grace,362
The Who,Live at Leeds,364
The Who,Live At The Oval 1971,364
The Who,Who Sell Out Disc 1,364
The Who,Who Sell Out Disc 2,364
The Who,Who's Next,364
Otis Redding,The Dock of the Bay,366
Otis Redding,The Ultimate Otis Redding,366
The Mamas & The Papas,16 of Their Greatest Hits,367
The Jimi Hendrix Experience,Are You Experienced?,368
The Jimi Hendrix Experience,Axis: Bold As Love,368
The Jimi Hendrix Experience,Electric Ladyland,368
Morphine,Cure For Pain,373
Motley Crue,Shout At The Devil,374
Mott the Hoople,Mott,376
Mountain,Climbing,377
N.W.A.,Straight Outta Compton,384
Nazareth,Hair of the Dog,387
Neil Young & Crazy Horse,Live Rust,388
New Riders of the Purple Sage,New Riders of the Purple Sage,390
New Riders of the Purple Sage,The Adventures of Panama Red,390
Nina Simone,The Blues,391
Nirvana,From the Muddy Banks of the Wishkah,392
Nirvana,In Utero,392
Nirvana,Nevermind,392
Nirvana,Nirvana,392
No Doubt,Return Of Saturn,393
No Doubt,Tragic Kingdom,393
The Stanley Brothers,"O Brother, Where Art Thou? Music From the Motion Picture",397
Palmyra Delran,She Digs the Ride,416
Parliament,Mothership Connection,417
Pat Benatar,In The Heat Of The Night,418
Patsy Cline,12 Greatest Hits,419
Patti Smith,Horses,420
Paul McCartney & Wings,Band on the Run,421
Paul & Linda McCartney,Ram,423
Paul Revere and the Raiders,Just Like Us!,424
"Pete Townsend, Ronnie Lane",Rought Mix,426
Pete Townshend,Empty Glass,427
Pink,Funhouse,429
Pink,M!ssundaztood,429
Pink Floyd,The Dark Side Of The Moon,430
Pink Floyd,Wish You Were Here,430
Poison,Poison's Greatest Hits: 1986-1996,431
Prince,1999,432
Prince,Purple Rain,432
Quicksilver Messenger Service,Happy Trails,450
Quicksilver Messenger Service,Just For Love,450
Quicksilver Messenger Service,Quicksilver Messenger Service,450
Quicksilver Messenger Service,Shady Grove,450
R.L. Burnside,A Ass Pocket of Whiskey,452
Rancid,...And Out Come The Wolves,453
Red Hot Chili Peppers,Stadium Arcadium Jupiter,455
Red Hot Chili Peppers,Stadium Arcadium,455
Red Hot Chili Peppers,Stadium Arcadium Mars,455
Richard Pryor,The Anthology: 1968-1992,457
Ringo Starr,What's My Name,460
Rocky Horror Picture Show,The Rocky Horror Picture Show,463
Rod Stewart,Gasoline Alley,464
Rod Stewart,Rod Stewart Album,464
Rory Gallagher,BBC Sessions Disc 1,466
Rory Gallagher,BBC Sessions Disc 2,466
Rory Gallagher,BBC Sessions,466
Rory Gallagher,Blues Disc 1,466
Rory Gallagher,Blues Disc 2,466
Rory Gallagher,Blues Disc 3,466
Rory Gallagher,Tattoo,466
Roy Orbison,Mystery Girl,467
Sam & Dave,Sam & Dave: All-Time Greatest Hits,469
Samantha Fish,Black Wind Howlin’,471
Samantha Fish,Chills & Fever,471
Samantha Fish,Faster,471
Samantha Fish,Kill or Be Kind,471
Samantha Fish,Paper Doll,471
Samantha Fish,Runaway,471
Samantha Fish,Wild Heart,471
