The Allman Brothers Band,Dreams Disc 1,,,540,,,
The Allman Brothers Band,Dreams Disc 2,,,540,,,
The Allman Brothers Band,Dreams Disc 3,,,540,,,
The Allman Brothers Band,Dreams Disc 4,,,540,,,
The Association,Greatest Hits,,,541,,,
The Bastard Fairies,Dirty Sexy Kill Kill,,,544,,,
The Beatles,1,,,547,,,
The Beatles,1962-1966 Disc 1,,,547,,,
The Beatles,1962-1966 Disc 2,,,547,,,
The Blues Magoos,Easy Rider Deluxe Edition,,,549,,,
The Brian Setzer Orchestra,The Dirty Boogie,,,551,,,
The Brian Setzer Orchestra,Vavoom!,,,551,,,
The Chambers Brothers,The Time Has Come,,,553,,,
The Corrs,Talk on Corners,,,557,,,
The Cowboy Junkies,"Rarities, B-Sides and Slow, Sad Waltzes",,,558,,,
The Cowboy Junkies,The Trinity Session,,,558,,,
The Cramps,Off the Bone,,,559,,,
The Dave Clark Five,History Of The Dave Clark Five,,,562,,,
The Derek Trucks Band,Already Free,,,563,,,
The Doobie Brothers,Takin' It To The Streets,,,566,,,
The Doobie Brothers,The Captain and Me,,,566,,,
The Doobie Brothers,Doobie Brothers,,,566,,,
The Doobie Brothers,Toulouse Street,,,566,,,
The Doobie Brothers,Walk This Road,,,566,,,
The Dwarves,Come Clean,,,568,,,
Easybeats,Friday On My Mind,,,569,,,
Electric Prunes,Rhino Hi-Five: The Electric Prunes,,,570,,,
The Go Gos,Beauty and the Beat,,,571,,,
The Grass Roots,All Time Greatest Hits,,,572,,,
The Grass Roots,The Best of The Grassroots,,,572,,,
The Guess Who,The Best of the Guess Who,,,573,,,
The Hollies,The Air That I Breathe: The Very Best Of The Hollies,,,575,,,
The Kinks,Low Budget,,,580,,,
The Kinks,The Singles Collection,,,580,,,
The Monkees,Headquarters,,,584,,,
The Monkees,More of the Monkees,,,584,,,
The Monkees,"Pisces, Aquarius, Capricorn & Jones Ltd.",,,584,,,
The Monkees,"The Birds, the Bees & The Monkees",,,584,,,
The Monkees,The Monkees,,,584,,,
The Moody Blues,Every Good Boy Deserves Favour,,,585,,,
The Moody Blues,On The Threshold Of A Dream,,,585,,,
The Moody Blues,Seventh Sojourn,,,585,,,
The Moody Blues,To Our Children's Childresn's Children,,,585,,,
The Mother Truckers,Something Worth Dying For,,,586,,,
The Nashville Teens,Nashville Teens - The Best Of,,,588,,,
The Offspring,Americana,,,589,,,
The Offspring,"Rise & Fall, Rage & Grace",,,589,,,
The Offspring,Smash,,,589,,,
The Offspring,Splinter,,,589,,,
The Police,Ghost In The Machine,,,592,,,
The Raconteurs,Broken Boy Soldiers,,,594,,,
The Ramones,Anthology Disc 1,,,595,,,
The Ramones,Anthology Disc 2,,,595,,,
The Righteous Brothers,The Very Best Of The Righteous Brothers,,,601,,,
The Rolling Stones,Forty Licks Disc 1,,,602,,,
The Rolling Stones,Forty Licks Disc 2,,,602,,,
The Rolling Stones,Goats Head Soup,,,602,,,
The Rolling Stones,Steel Wheels,,,602,,,
The Rolling Stones,The Rolling Stones,,,602,,,
The Rolling Stones,Their Satanic Majesties Request,,,602,,,
The Rolling Stones,Voodoo Lounge,,,602,,,
The Ronettes,...Presenting The Fabulous Ronettes,,,603,,,
The Ronettes,Best of The Ronettes,,,603,,,
